,3715,3717,3723,3733,3734,3744,3772,3773,3775
ko00010,1643,2636,2181,2497,3626,2957,1750,2830,3142
ko00020,795,1262,1158,1283,1655,1442,918,1297,1433
ko00030,958,1591,1337,1439,2426,1764,1046,1716,2029
ko00040,713,1131,923,847,1811,1366,619,1278,1360
ko00051,980,1512,1202,1259,2173,1692,892,1548,1731
ko00052,1194,1806,1464,1563,2525,2073,1073,1892,2001
ko00053,169,302,215,268,416,290,183,321,362
ko00500,1339,2316,1826,2000,3705,2721,1256,2562,2955
ko00520,1923,3301,2853,3020,4857,3609,2187,3387,3398
ko00620,1299,2147,1862,2120,3100,2450,1506,2338,2552
ko00630,898,1344,1213,1298,1795,1562,903,1364,1531
ko00640,692,1076,943,1017,1456,1166,730,1129,1250
ko00650,680,1193,1124,1196,1857,1335,819,1367,1519
ko00660,226,387,324,315,683,462,210,423,517
ko00562,219,254,209,251,308,261,174,279,297
ko00190,856,1313,1156,1288,1676,1438,985,1300,1362
ko00195,197,355,245,321,464,403,225,358,357
ko00710,746,1226,1047,1151,1796,1366,894,1302,1401
ko00720,1146,1843,1645,1893,2492,2136,1315,1951,1990
ko00680,894,1414,1245,1401,2209,1718,958,1591,1771
ko00910,437,688,599,679,1106,853,413,735,879
ko00920,307,465,398,415,682,528,290,454,502
ko00061,695,1145,841,960,1312,1181,691,1024,1000
ko00062,10,9,3,4,2,4,4,11,4
ko00071,279,438,403,405,616,452,282,443,454
ko00072,10,31,55,43,83,35,23,57,70
ko00100,0,2,2,1,0,0,1,2,0
ko00120,39,65,46,55,53,63,38,58,49
ko00121,37,67,43,55,49,62,40,58,46
ko00140,49,68,52,55,29,61,52,46,51
ko00561,339,668,519,571,978,718,384,662,790
ko00564,496,906,674,784,1197,963,618,860,901
ko00565,22,25,22,20,11,23,25,24,12
ko00600,419,566,426,435,609,624,322,553,549
ko00590,17,25,18,17,15,27,14,26,14
ko00591,10,17,16,15,7,16,12,10,8
ko00592,21,26,22,19,11,16,16,14,14
ko01040,173,300,217,218,372,292,168,256,299
ko00230,2758,4593,4019,4448,6915,5350,3220,5021,4922
ko00240,2229,3743,3277,3671,5493,4431,2736,4139,3898
ko00250,1369,2106,1911,2068,3306,2620,1360,2373,2492
ko00260,1098,1663,1508,1662,2365,1914,1160,1812,1955
ko00270,1129,1730,1566,1690,2667,2096,1175,1890,2007
ko00280,365,546,568,552,718,565,385,551,590
ko00290,455,744,644,658,1340,935,432,860,1034
ko00300,692,1134,991,1066,1713,1356,757,1189,1300
ko00310,108,165,163,168,216,152,147,163,193
ko00220,690,1047,987,1003,1689,1263,631,1157,1216
ko00330,430,642,566,582,897,723,421,616,657
ko00340,416,602,554,555,972,759,352,659,787
ko00350,245,368,331,342,523,403,226,419,441
ko00360,229,354,346,347,570,417,225,393,434
ko00380,81,135,140,142,177,117,113,134,163
ko00400,755,1199,975,1018,1678,1439,705,1245,1334
ko00410,124,193,159,180,189,172,128,148,164
ko00430,149,226,236,261,348,251,168,260,251
ko00440,52,94,55,82,123,90,50,64,70
ko00450,422,600,556,596,846,676,452,618,681
ko00460,393,552,484,470,837,680,325,673,668
ko00471,162,292,253,267,394,344,192,311,292
ko00472,9,13,5,10,12,10,7,12,17
ko00473,112,229,199,209,387,264,143,242,252
ko00480,179,235,194,211,308,227,164,232,218
ko00510,66,69,46,52,83,44,39,81,50
ko00513,118,123,104,125,81,84,104,102,90
ko00512,2,0,2,2,1,1,1,2,1
ko00515,0,6,5,5,15,7,3,12,9
ko00514,7,26,14,8,17,10,14,17,13
ko00532,0,1,0,3,2,1,1,2,2
ko00534,0,1,0,3,4,1,1,3,1
ko00531,277,384,315,343,356,348,282,322,333
ko00563,11,14,8,7,4,7,5,17,8
ko00601,26,31,19,22,44,36,22,27,30
ko00603,181,240,182,224,256,225,161,210,236
ko00604,119,136,118,145,99,106,122,103,105
ko00540,470,770,608,672,648,693,564,540,403
ko00550,832,1681,1366,1536,2561,1954,1149,1711,1869
ko00511,583,756,655,660,831,833,527,781,750
ko00730,523,817,692,785,1125,965,593,857,943
ko00740,264,390,309,345,376,419,242,313,351
ko00750,233,373,336,333,522,441,229,373,351
ko00760,530,878,749,797,1118,968,608,854,856
ko00770,569,919,795,864,1347,1055,593,941,1064
ko00780,459,803,614,685,867,770,507,654,691
ko00785,56,80,69,78,65,64,66,67,61
ko00790,467,711,605,660,827,719,486,634,668
ko00670,655,1006,854,913,1378,1184,674,985,1022
ko00830,25,38,22,26,25,25,13,24,26
ko00860,530,801,682,772,1120,938,567,813,1059
ko00130,174,251,194,244,189,255,182,170,186
ko00900,490,873,764,819,1199,977,605,886,874
ko00909,0,0,1,1,0,0,1,0,0
ko00906,2,7,5,6,5,3,7,4,5
ko00905,5,7,3,7,8,4,2,1,3
ko00981,16,29,22,23,38,16,16,18,39
ko00908,80,121,92,99,146,129,85,120,111
ko00903,17,42,29,30,56,27,23,27,47
ko00281,3,7,20,12,12,4,10,7,15
ko01051,99,204,191,164,378,205,129,234,282
ko00523,240,436,347,353,544,502,271,427,373
ko01054,15,45,38,24,84,65,17,25,65
ko01053,24,39,32,27,39,39,20,22,41
ko01055,63,123,100,106,160,145,71,138,112
ko00940,248,355,295,261,563,436,167,455,415
ko00945,5,9,7,7,2,4,6,6,6
ko00941,5,9,7,7,2,4,6,6,6
ko00944,59,101,78,68,118,110,54,85,90
ko00950,109,154,160,148,219,169,107,181,166
ko00960,163,239,228,228,353,278,153,283,276
ko00232,12,9,2,4,2,0,1,16,1
ko00966,45,73,66,61,127,80,43,75,104
ko00311,0,32,23,19,22,27,19,20,19
ko00332,64,111,91,84,202,127,51,105,129
ko00261,259,394,347,412,618,472,285,422,487
ko00521,533,881,692,759,1116,969,556,840,816
ko00524,97,146,102,128,180,143,94,138,150
ko00525,135,237,206,207,329,289,154,270,214
ko00401,185,283,264,265,421,341,176,321,331
ko00405,45,68,28,33,85,77,33,71,70
ko00333,232,409,284,316,478,396,237,339,388
ko00362,25,83,107,84,170,85,60,106,141
ko00627,20,40,51,72,66,45,51,50,90
ko00364,0,0,1,0,0,0,0,0,0
ko00625,81,148,113,130,230,138,82,158,196
ko00361,5,13,9,16,27,9,8,20,13
ko00622,3,19,13,12,24,20,8,20,16
ko00633,54,107,81,69,136,85,52,89,111
ko00642,1,3,6,3,3,0,3,0,4
ko00643,0,3,10,11,11,5,10,3,15
ko00791,27,48,34,37,33,38,25,32,18
ko00930,15,38,37,32,55,37,22,39,39
ko00621,3,19,12,12,24,20,8,20,16
